4000
0  Sig [key=淘, ig=0.14581551759914219]
1  Sig [key=海运, ig=0.10740109993144548]
2  Sig [key=买, ig=0.07038112550439346]
3  Sig [key=税, ig=0.06860883965274012]
4  Sig [key=转运, ig=0.0579608133051247]
5  Sig [key=海, ig=0.048347371496102576]
6  Sig [key=运, ig=0.03719421051529359]
7  Sig [key=日, ig=0.03429302554163116]
8  Sig [key=东西, ig=0.034006022953586346]
9  Sig [key=箱, ig=0.027061885380176398]
10  Sig [key=@美速通海淘转运, ig=0.027061885380176398]
11  Sig [key=@全球什么值得买, ig=0.024553865343594272]
12  Sig [key=iPhone, ig=0.024287545550112588]
13  Sig [key=包裹, ig=0.024287545550112588]
14  Sig [key=货, ig=0.02305386716445257]
15  Sig [key=@好都合-转运, ig=0.019567241857892048]
16  Sig [key=囤, ig=0.019567241857892048]
17  Sig [key=亚马逊, ig=0.019547333239179343]
18  Sig [key=孩子, ig=0.018570587649288872]
19  Sig [key=ZYJP, ig=0.01708845668648873]
20  Sig [key=海淘, ig=0.01708845668648873]
21  Sig [key=海关, ig=0.01708845668648873]
22  Sig [key=箱子, ig=0.01708845668648873]
23  Sig [key=妈妈, ig=0.01689115999979951]
24  Sig [key=晒, ig=0.016504139768158677]
25  Sig [key=ebay, ig=0.01461923713094615]
26  Sig [key=积分, ig=0.01461923713094615]
27  Sig [key=运费, ig=0.01461923713094615]
28  Sig [key=订单, ig=0.01461923713094615]
29  Sig [key=中, ig=0.01364309292816912]
30  Sig [key=收, ig=0.013424232823884052]
31  Sig [key=包, ig=0.012983870781590579]
32  Sig [key=杂志, ig=0.012977126956176033]
33  Sig [key=活动, ig=0.012546461353794447]
34  Sig [key=速度, ig=0.012295245002744926]
35  Sig [key=红包, ig=0.012159495855950664]
36  Sig [key=kg, ig=0.012159495855950664]
37  Sig [key=快递, ig=0.012159495855950664]
38  Sig [key=到手, ig=0.012159495855950664]
39  Sig [key=涨价, ig=0.012159495855950664]
40  Sig [key=次, ig=0.012007178170226451]
41  Sig [key=新浪, ig=0.011687626834161358]
42  Sig [key=收到, ig=0.011561485149868989]
43  Sig [key=[], ig=0.010405568486318795]
44  Sig [key=岁, ig=0.010405568486318795]
45  Sig [key=打包, ig=0.010395185468273449]
46  Sig [key=会员, ig=0.010365394889883417]
47  Sig [key=无, ig=0.01028606360368789]
48  Sig [key=公司, ig=0.010202196858949297]
49  Sig [key=寄, ig=0.010202196858949297]
50  Sig [key=育, ig=0.009979854541622868]
51  Sig [key=依旧, ig=0.00970914687932245]
52  Sig [key=包装, ig=0.00970914687932245]
53  Sig [key=村长, ig=0.00970914687932245]
54  Sig [key=代购, ig=0.00970914687932245]
55  Sig [key=回国, ig=0.00970914687932245]
56  Sig [key=库, ig=0.00970914687932245]
57  Sig [key=最, ig=0.009650911014242647]
58  Sig [key=健康, ig=0.009554954759915746]
59  Sig [key=后, ig=0.009130866015022665]
60  Sig [key=找, ig=0.008436014470496578]
61  Sig [key=终于, ig=0.008436014470496578]
62  Sig [key=便宜, ig=0.00820726147970463]
63  Sig [key=服, ig=0.00820726147970463]
64  Sig [key=亚, ig=0.00820726147970463]
65  Sig [key=客, ig=0.00820726147970463]
66  Sig [key=钱, ig=0.008137477169004925]
67  Sig [key=第一, ig=0.008069958844842184]
68  Sig [key=再, ig=0.00798536153142293]
69  Sig [key=视频, ig=0.007863435009753506]
70  Sig [key=生活, ig=0.007863435009753506]
71  Sig [key=文艺, ig=0.007442559509758029]
72  Sig [key=做, ig=0.007404635844515783]
73  Sig [key=Plus, ig=0.007268105541706649]
74  Sig [key=YunOS, ig=0.007268105541706649]
75  Sig [key=ems, ig=0.007268105541706649]
76  Sig [key=ID, ig=0.007268105541706649]
77  Sig [key=化妆, ig=0.007268105541706649]
78  Sig [key=智能, ig=0.007268105541706649]
79  Sig [key=@日淘购物达人, ig=0.007268105541706649]
80  Sig [key=eBay, ig=0.007268105541706649]
81  Sig [key=汇率, ig=0.007268105541706649]
82  Sig [key=邮, ig=0.007268105541706649]
83  Sig [key=破损, ig=0.007268105541706649]
84  Sig [key=特, ig=0.007268105541706649]
85  Sig [key=力, ig=0.007268105541706649]
86  Sig [key=姐, ig=0.007268105541706649]
87  Sig [key=www.mst.com, ig=0.007268105541706649]
88  Sig [key=vivo, ig=0.007268105541706649]
89  Sig [key=时效, ig=0.007268105541706649]
90  Sig [key=最近, ig=0.00705581292424462]
91  Sig [key=儿, ig=0.007033794290087325]
92  Sig [key=机会, ig=0.007022479684033689]
93  Sig [key=子, ig=0.007022479684033689]
94  Sig [key=编, ig=0.007022479684033689]
95  Sig [key=真, ig=0.006745564534561543]
96  Sig [key=美国, ig=0.006690921033679298]
97  Sig [key=现在, ig=0.006690921033679298]
98  Sig [key=位, ig=0.006665756190458505]
99  Sig [key=少年, ig=0.006603192512777301]
100  Sig [key=发表, ig=0.006603192512777301]
101  Sig [key=学习, ig=0.006603192512777301]
102  Sig [key=时, ig=0.006300665211492973]
103  Sig [key=天, ig=0.006249289670983149]
104  Sig [key=亲, ig=0.006184694993440987]
105  Sig [key=儿童, ig=0.006184694993440987]
106  Sig [key=故事, ig=0.006184694993440987]
107  Sig [key=却, ig=0.006184694993440987]
108  Sig [key=手, ig=0.006107412374021903]
109  Sig [key=奶粉, ig=0.006083240287255598]
110  Sig [key=宝宝, ig=0.006032643871561216]
111  Sig [key=今天, ig=0.006018600475007019]
112  Sig [key=棒, ig=0.005936202753604181]
113  Sig [key=第二, ig=0.005936202753604181]
114  Sig [key=全文, ig=0.005766984140598952]
115  Sig [key=爸爸, ig=0.005766984140598952]
116  Sig [key=关注, ig=0.005766984140598952]
117  Sig [key=准, ig=0.005766984140598952]
118  Sig [key=爸, ig=0.005766984140598952]
119  Sig [key=作者, ig=0.005766984140598952]
120  Sig [key=美, ig=0.005639611221508911]
121  Sig [key=种, ig=0.00557998688932082]
122  Sig [key=新闻, ig=0.005350056985817919]
123  Sig [key=食物, ig=0.005350056985817919]
124  Sig [key=身体, ig=0.005350056985817919]
125  Sig [key=目前, ig=0.005350056985817919]
126  Sig [key=妙, ig=0.005350056985817919]
127  Sig [key=驾, ig=0.005350056985817919]
128  Sig [key=发生, ig=0.005350056985817919]
